;text;ciberbullying
0;would you/have you been in an interracial relationship?;0
1;i wunt y0 di!ckk .;1
2;I ment boyfriend u know  like the kissing the hugging estera.....unless u do that with your best friend lol :D;0
3;what the fuck is everyones problem with u ??? u seem nice as far as i know :);0
4;hey this is actually Danny Grammes and i didnt write thatvvvv someone is writing shit and putting my name;1
5;you think someone should have to compete for the girl they love;1
6;if ur friends set u up on a blind-date.. and it turned out u were on the blind date show AND u slept with them n got a STD--- what wud ur reaction be for ur FRIEND??;0
7;whyy dose rubinathy15 ask stoopid questions? erase the dum betch;1
8;your a dirty bitch int ya?;1
9;2 weeks? WOW i totally change my mind!! thats like sooooo long! im sorry i ever said anything.....NOT  your too young for makeup. especially the amount you were;1
10;http://www.meatspin.com/;1
11;"I&#039;m so bored  why am i sat in alone on a saturday night?!";0
12;do you think girls look better with makeup on or none?;0
13;beach with the Blonde how about thursday? :);0
14;i jsut washed mine couple days ago...;0
15;Do you own any sex toys? If so..why?;0
16;Would u end up in heaven or hell. Or in purgatory?;0
17;im not Jewish im catholic so suck a dick;1
18;did you go to an awesome party or sumthin?;0
19;Name 3 of the best places you have ever been to?;0
20;Suck it;1
21;"My home page  it&#039;s all of your shit.";1
22;"Girls: Have you evr queefed while having sex?  Guys: has your girl queefed?  My bros chick did &amp;&amp; he was lhfao!!!";0
23;DO YOU WANT BEEF BLUD!?!;1
24;dont you just hate the go compare advert?;0
25;"Why do u follow the bandwagon? Formspring. Twitter. What&#039;s next gay Justin beiber.";1
26;"your in 7th grade. stop trying to grow up so fast  its not cute. you&apos;ll grow up at your own pace.";1
27;what do you do if you know someone is hiding something from you?;0
28;when u were a kid did u ever have a crabby/bossy neighbor or person around u who was always yelling at kids - saying hooligans etc - ? explain ur experience.;0
29;lmao taylor ur guna hit someone? ur a soft bitch so stfu lol anyone can woop ur ass;0
30;"Why did you fake yourself? That&#039;s lameeee you know there is like a lot of hate groups on myspace of you?";1
31;"What lip did u get pierced O.o?? ;)";1
32;Why do guys tend to ask for dirty questions? haha;1
33;Your never on here any more! :(;0
34;musta?you said you were sick last week.. you okay now?;0
35;Describe the biggest snake youu2019ve ever seen in the wild. Where did you see it? Were you scared of it?;0
36;hugs or massages?;1
37;favourite colour  in general  (or top 2)? favourite colour  to wear? 2 colours (in the same piece of jewelry) that you think look really good together (like green and blue  red and brown  green and brown  etc etc).. like in the same pendant or something??;0
38;when they mean fake  they mean your attitude is fake and your personality  not if shes dead or alive..um just saying ppl.;1
39;I fucking hope you move you bitch!!!!;1
40;Elephants have very good memories. Who realised that and what other brain was it measured against?;0
41;how many children  is TOO many children for someone to have?;0
42;bro are you kidding me??? stop talking already  fuck;1
43;"Leaving  won&#039;t be back until Next Thursday  Spam me all you want (:";0
44;i never knew you were EssAychAyyWyy u2665s GeeEmmAyySee on yahoo answers :O;0
45;y does u talk shit about peyton ?;1
46;waht u mean turn off?...you not allowed yahoo?;0
47;wtf is up wit ur cheeks?? chipmunk much??;1
48;Does hoes nasstty;1
49;"Oh bitch you can&#039;t hide cus I&#039;m gonna find you and we gon have a problem hoe";1
50;what do u think of the ppl who show up to their prom with their sibling or cousin?;0
51;what is a sex toy that you want to try?;1
52;Do you ever use big words to sound smarter? (: I do. xD;0
